NAME,TICKER,YAHOO_TICKER
ARC Resources Ltd.,ARX,ARX.TO
Agnico Eagle Mines Limited,AEM,AEM.TO
Agrium Inc.,AGU,AGU.TO
Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares,ATD-B,ATD-B.TO
BCE Inc.,BCE,BCE.TO
Bank of Montreal,BMO,BMO.TO
Bank of Nova Scotia (The),BNS,BNS.TO
Barrick Gold Corporation,ABX,ABX.TO
BlackBerry Limited,BB,BB.TO
Bombardier Inc. Class B Subordinate Voting Shares,BBD-B,BBD-B.TO
Brookfield Asset Management Inc. Class A Limited Voting Shares,BAM-A,BAM-A.TO
CGI Group Inc. Class A Subordinate  Voting Shares,GIB-A,GIB-A.TO
Cameco Corporation,CCO,CCO.TO
Canadian Imperial Bank Of Commerce,CM,CM.TO
Canadian National Railway Company,CNR,CNR.TO
Canadian Natural Resources Limited,CNQ,CNQ.TO
Canadian Pacific Railway Limited,CP,CP.TO
Canadian Tire Corporation Limited Class A Non-Voting Shares,CTC-A,CTC-A.TO
Cenovus Energy Inc.,CVE,CVE.TO
Constellation Software Inc.,CSU,CSU.TO
Crescent Point Energy Corp.,CPG,CPG.TO
Dollarama Inc.,DOL,DOL.TO
Eldorado Gold Corporation,ELD,ELD.TO
Emera Incorporated,EMA,EMA.TO
Enbridge Inc.,ENB,ENB.TO
Encana Corporation,ECA,ECA.TO
First Quantum Minerals Ltd.,FM,FM.TO
Fortis Inc.,FTS,FTS.TO
Franco-Nevada Corporation,FNV,FNV.TO
George Weston Limited,WN,WN.TO
Gildan Activewear Inc.,GIL,GIL.TO
Goldcorp Inc.,G,G.TO
Husky Energy Inc.,HSE,HSE.TO
Imperial Oil Limited,IMO,IMO.TO
Inter Pipeline Ltd.,IPL,IPL.TO
Kinross Gold Corporation,K,K.TO
Loblaw Companies Limited,L,L.TO
Magna International Inc.,MG,MG.TO
Manulife Financial Corporation,MFC,MFC.TO
Metro Inc.,MRU,MRU.TO
National Bank of Canada,NA,NA.TO
Pembina Pipeline Corporation,PPL,PPL.TO
Potash Corporation of Saskatchewan Inc.,POT,POT.TO
Power Corporation of Canada Subordinate Voting Shares,POW,POW.TO
Restaurant Brands International Inc.,QSR,QSR.TO
Rogers Communications Inc. Class B Non-voting Shares,RCI-B,RCI-B.TO
Royal Bank of Canada,RY,RY.TO
SNC-Lavalin Group Inc.,SNC,SNC.TO
Saputo Inc.,SAP,SAP.TO
Shaw Communications Inc. Class B Non-voting Shares,SJR-B,SJR-B.TO
Sun Life Financial Inc.,SLF,SLF.TO
Suncor Energy Inc.,SU,SU.TO
TELUS Corporation,T,T.TO
Teck Resources Limited Class B Subordinate Voting Shares,TCK-B,TECK-B.TO
Thomson Reuters Corporation,TRI,TRI.TO
Toronto-Dominion Bank (The),TD,TD.TO
TransCanada Corporation,TRP,TRP.TO
Valeant Pharmaceuticals International Inc.,VRX,VRX.TO
Yamana Gold Inc.,YRI,YRI.TO
